ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_2337655	ILMN_2337655	0.000765842402805572	6.38466725343401e-08	1.70239047189385	10.5793983630945	24.5055519086181	8.27433513250199	47419913	WARS	tryptophanyl-tRNA synthetase
ILMN_1722809	ILMN_1722809	0.000765842402805572	6.83824516713101e-08	1.72675513247375	7.41611944613494	24.2584978510202	8.23193531191038	302191645	NRCAM	neuronal cell adhesion molecule
ILMN_1794829	ILMN_1794829	0.000765842402805572	7.34832472467446e-08	-1.33889761874963	8.7410499300596	-24.0021501547452	8.18707280813632	156523250	MRAP2	melanocortin 2 receptor accessory protein 2
ILMN_1755391	ILMN_1755391	0.000847796236339429	1.22103986564754e-07	1.60260263744726	9.53228991082351	22.266525161828	7.85831246554408	42794776	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein
ILMN_2384409	ILMN_2384409	0.000847796236339429	1.37067745574349e-07	2.17402899568452	8.00778158508903	21.8888907882943	7.78054081841986	166158920	TAC1	tachykinin precursor 1
ILMN_1801616	ILMN_1801616	0.000847796236339429	1.62693578265099e-07	1.936506189962	7.42697982075295	21.3404718521812	7.66326203797519	197313788	EMP1	epithelial membrane protein 1
ILMN_2148469	ILMN_2148469	0.000861882744135649	2.39950476993043e-07	-1.704032343639	11.0097874358285	-20.1462160188133	7.38877313931062	34147350	RASL11B	RAS like family 11 member B
ILMN_1674985	ILMN_1674985	0.000861882744135649	2.60011182661853e-07	2.02952586064733	8.84390985854231	19.9076609497491	7.33058645799558	209977050	TMEM51	transmembrane protein 51
ILMN_2170814	ILMN_2170814	0.000861882744135649	2.75661339517575e-07	1.04956453639407	7.16125960960122	19.7357309588019	7.28791794390535	156627583	LAMP3	lysosomal associated membrane protein 3
ILMN_1731224	ILMN_1731224	0.000929145685911169	3.26891912781387e-07	1.52704399770426	7.81657454839405	19.2424989184748	7.1619949250654	226371705	PARP9	poly(ADP-ribose) polymerase family member 9
ILMN_1726913	ILMN_1726913	0.000935580779994	3.75262957183152e-07	-0.998639143382622	7.97149624209976	-18.8519503216764	7.05844688164918	350606365	RBPJ	recombination signal binding protein for immunoglobulin kappa J region
ILMN_1726456	ILMN_1726456	0.000935580779994	4.37742565075255e-07	1.39860789361529	10.1142384069151	18.4251462160669	6.94121841548847	312032449	SLC3A2	solute carrier family 3 member 2
ILMN_2408663	ILMN_2408663	0.000935580779994	4.53400430482757e-07	1.08279273139337	7.02887589499947	18.3290622802168	6.91422198742243	301129228	RHCE	Rh blood group CcEe antigens
ILMN_1792409	ILMN_1792409	0.000935580779994	4.7731709962928e-07	1.01519261278816	7.4377161844164	18.1893924635318	6.87457288093375	63252911	AMOT	angiomotin
ILMN_1701424	ILMN_1701424	0.000935580779994	4.78772227976204e-07	1.64196561972851	8.51794180065642	18.1811543134045	6.87221907973864	157419137	LAMC2	laminin subunit gamma 2
ILMN_1676984	ILMN_1676984	0.00102779807738232	5.95156599233077e-07	2.01692153413415	8.04287213768381	17.6014580215956	6.70222785287446	304282232	DDIT3	DNA damage inducible transcript 3
ILMN_1746013	ILMN_1746013	0.00102779807738232	6.38363874273903e-07	1.3033254956011	7.86992321946861	17.4185679074763	6.6467606532823	82659117	SPOCK1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1
ILMN_1694847	ILMN_1694847	0.00102779807738232	6.4026735654884e-07	-2.37318321680542	10.3817553939943	-17.4108387676385	6.64439658967985	189409141	TERF1	telomeric repeat binding factor 1
ILMN_1656129	ILMN_1656129	0.00102779807738232	6.90326860648268e-07	-0.914415816367059	8.28056544113528	-17.2165079926489	6.58441820679051	187936947	SLC39A10	solute carrier family 39 member 10
ILMN_1673409	ILMN_1673409	0.00110387510434254	7.76730387498748e-07	2.26906417104267	8.06587744380674	16.9162602831381	6.48966963948242	218749851	MIR503HG	MIR503 host gene
ILMN_1654210	ILMN_1654210	0.00116672871682379	8.89020726159081e-07	2.08925689497516	7.26328275040555	16.5786410971368	6.38001459948	110618226	CD1C	CD1c molecule
ILMN_1745299	ILMN_1745299	0.00116672871682379	9.19702906262356e-07	1.44249110889067	8.0358448992927	16.4948226786846	6.35226639379762	975830152	FABP7	fatty acid binding protein 7
ILMN_1786972	ILMN_1786972	0.00116672871682379	9.32905325932157e-07	0.88136645625778	8.90051838439146	16.4597341288274	6.3405871888648	300795157	SARS	seryl-tRNA synthetase
ILMN_1712283	ILMN_1712283	0.00117171930547736	9.74371583906206e-07	1.96744695609163	7.35582775254942	16.353112165198	6.30486765049872	300193073	WNT10B	Wnt family member 10B
ILMN_1718063	ILMN_1718063	0.00135006331970227	1.16585778903477e-06	1.79111821684585	8.93558855426658	15.9201641424212	6.15618125780904	572871808	LIPA	lipase A, lysosomal acid type
ILMN_1703477	ILMN_1703477	0.00138995203188292	1.31602837413439e-06	0.939426015646559	10.4605031690878	15.6340038358715	6.05459043040131	253735771	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2
ILMN_2395240	ILMN_2395240	0.00138995203188292	1.37058021754755e-06	-1.37802283082738	8.44882312797516	-15.5391779617363	6.02032498597522	54112404	CHEK2	checkpoint kinase 2
ILMN_1799026	ILMN_1799026	0.00138995203188292	1.37705401705295e-06	-0.950931861295575	7.88851063211742	-15.5282116677572	6.01634270236577	664806061	PCDH18	protocadherin 18
ILMN_1711988	ILMN_1711988	0.00138995203188292	1.37812681469873e-06	-1.93222797861968	9.38804660519142	-15.5264000917517	6.01568445661238	11545760	KCNK12	potassium two pore domain channel subfamily K member 12
ILMN_1687501	ILMN_1687501	0.00139423447787298	1.42696549900644e-06	1.63626384787781	7.64539091350222	15.4455932051965	5.98620914902305	612407803	MOXD1	monooxygenase DBH like 1
ILMN_1786631	ILMN_1786631	0.00150718629005676	1.61112380568135e-06	1.76769582402716	7.39448708050375	15.1670548212263	5.88287938509551	186910310	SIX6	SIX homeobox 6
ILMN_1703244	ILMN_1703244	0.00150718629005676	1.64502483087137e-06	0.837284008030457	8.80962443681771	15.1197522779237	5.86506079541529	197382745	MAP1LC3B	microtubule associated protein 1 light chain 3 beta
ILMN_1697729	ILMN_1697729	0.00150718629005676	1.68718480624278e-06	-0.760537970815083	7.14092238408266	-15.0624560432341	5.84337074923368	90577186	MAP2K6	mitogen-activated protein kinase kinase 6
ILMN_1728799	ILMN_1728799	0.00158385923843791	1.82367212255373e-06	1.28394208372872	7.93309211613438	14.8876121982305	5.7764497377817	160298191	FBP1	fructose-bisphosphatase 1
ILMN_1717381	ILMN_1717381	0.0016035451201016	1.89762583777136e-06	0.981803696437483	7.01048825937751	14.7990101098353	5.74211093272973	399154168	HOXD1	homeobox D1
ILMN_1690392	ILMN_1690392	0.0016899008878949	2.10201580768352e-06	0.994474563562281	8.34905226156777	14.5732962844957	5.65331004155524	323276613	COMMD3	COMM domain containing 3
ILMN_1673795	ILMN_1673795	0.0016899008878949	2.10791705456089e-06	-0.967596757529705	10.6619867944416	-14.5671563394188	5.65086755544866	313151208	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4
