ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_1713124	ILMN_1713124	0.00158730587652759	1.87840841270137e-06	1.68346831518888	7.64902496015633	14.8216498192591	5.63417257982098	359806986	AKR1C3	aldo-keto reductase family 1, member C3
ILMN_1769876	ILMN_1769876	0.0016498335985999	2.01333290368181e-06	1.1723466502815	7.76195925490286	14.6680099439549	5.57762665562568	222352142	TBC1D2	TBC1 domain family member 2
ILMN_1745395	ILMN_1745395	0.0016498335985999	2.08647131998686e-06	0.903784086777526	6.9511538939197	14.5895642098306	5.54841361131209	392933921	CTCFL	CCCTC-binding factor like
ILMN_2237252	ILMN_2237252	0.0016498335985999	2.15973674369032e-06	0.774443720714655	7.25866242181129	14.5140694251357	5.52007848678932	208431837	LY6H	lymphocyte antigen 6 complex, locus H
ILMN_1769433	ILMN_1769433	0.0016498335985999	2.16347398268394e-06	0.875904857090056	8.14585613174109	14.5102971549506	5.51865693251089	550544222	IQGAP2	IQ motif containing GTPase activating protein 2
ILMN_1674250	ILMN_1674250	0.00182733044047898	2.51311996867512e-06	1.00740293445043	6.99859706927195	14.1869219747153	5.39473443795712	153792638	NCKAP1L	NCK associated protein 1 like
ILMN_1791702	ILMN_1791702	0.00201161529199621	2.83090490781787e-06	0.937727652380692	7.75838040347112	13.9347527127733	5.29520033231944	574957238	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
ILMN_2081883	ILMN_2081883	0.00233462244128352	3.36013592585424e-06	-0.755554848510379	7.96126297191537	-13.5791771209857	5.15035596485574	760998373	IQCK	IQ motif containing K
ILMN_1668850	ILMN_1668850	0.00235911045520056	3.48426755588479e-06	1.08272733263292	7.44353231160463	13.5050128100212	5.11946203140843	299523249	PCSK9	proprotein convertase subtilisin/kexin type 9
ILMN_1724422	ILMN_1724422	0.00235911045520056	3.54628642597155e-06	0.826194936219892	6.88494464944639	13.4690800344279	5.10440732269246	262206314	SELL	selectin L
ILMN_1803423	ILMN_1803423	0.00244674919712602	3.75628354960816e-06	1.88522957845474	8.12873812186223	13.3525340524974	5.05518558688638	47078220	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6
ILMN_1690179	ILMN_1690179	0.00262987698802138	4.12153689032967e-06	1.04326851986347	7.42836827414284	13.1665258801359	4.97536508971142	685504979	CRYM	crystallin mu
ILMN_1821280	ILMN_1821280	0.00263550074092969	4.21464328812399e-06	-0.745213751283544	7.88669048997749	-13.1221106680415	4.95607233938003	21749378	GDF11	growth differentiation factor 11
ILMN_1672605	ILMN_1672605	0.00274322407408051	4.4746506677575e-06	0.695574673418671	7.95033985715949	13.0037749765025	4.90422492259998	116008439	MTURN	maturin, neural progenitor differentiation regulator homolog (Xenopus)
ILMN_1673637	ILMN_1673637	0.002839526334618	4.72255387322126e-06	0.886831138350605	7.40200312962217	12.8980364612542	4.85734189694962	225579057	SLC10A4	solute carrier family 10 member 4
ILMN_1664024	ILMN_1664024	0.00286830414368025	4.86215440462654e-06	0.88443417763906	6.92329786568699	12.8412429231784	4.83194145752145	105990531	APOB	apolipoprotein B
ILMN_1660973	ILMN_1660973	0.00306358393102509	5.29116395686544e-06	1.06304656266213	7.39324550425209	12.677710477159	4.75793552565682	58331244	GAD1	glutamate decarboxylase 1
ILMN_1796179	ILMN_1796179	0.00332678666315159	6.04089223192824e-06	2.0743297629844	9.84177248608167	12.4253103667584	4.6411302860695	301601626	HIST1H2BK	histone cluster 1, H2bk
ILMN_2078599	ILMN_2078599	0.00332678666315159	6.08471717546728e-06	0.816683322064692	7.34251673443147	12.4116768406418	4.6347299897217	1015181841	ACP5	acid phosphatase 5, tartrate resistant
