Gene.symbol
BNC2
CCDC34
CCL26
CHEK2
CHST9
GJA1
GLTP
HESX1
KCNK12
KLF6
KLKB1
LFNG
LYPD1
MAOA
MLLT6
PQLC1
PROM1
RGS17
SAT1
SHTN1
SSBP2
STC1
