ID	adj.P.Val	P.Value	logFC	AveExpr	t	B	GI	Gene.symbol	Gene.title
ILMN_1796094	ILMN_1796094	0.0540274557637875	6.43629098350335e-05	0.921164881679607	8.05506786923919	8.62004365031892	2.11924676498047	188536061	CD36	CD36 molecule
ILMN_1700547	ILMN_1700547	0.0548183740881712	6.83783211616029e-05	-0.764619604831225	7.93060338580928	-8.53796176701148	2.07220899664035	372622387	CHST9	carbohydrate sulfotransferase 9
ILMN_1661994	ILMN_1661994	0.0674475061576633	8.62886281042197e-05	0.476583176534901	7.0266504130721	8.228554766948	1.889086433297	343780942	ESRRG	estrogen related receptor gamma
ILMN_1690170	ILMN_1690170	0.0712598332980326	9.3445057417621e-05	-0.851480521330988	9.61144373660903	-8.12477981297753	1.82554478687126	315013540	CRABP2	cellular retinoic acid binding protein 2
ILMN_1657547	ILMN_1657547	0.0715105562923099	0.000101153189892804	-0.578438750650289	10.3185347974978	-8.02262934126471	1.76192285790804	63054847	CCDC34	coiled-coil domain containing 34
ILMN_1708881	ILMN_1708881	0.0715105562923099	0.00010262471544	-0.483747525660247	7.49200086458317	-8.00413171461448	1.75028642300253	734520287	RAB20	RAB20, member RAS oncogene family
ILMN_1652306	ILMN_1652306	0.0715105562923099	0.00010273203036661	0.713528577626755	7.47216426934501	8.00279449562233	1.74944382428368	181336652	MEGF10	multiple EGF like domains 10
ILMN_1659678	ILMN_1659678	0.0715105562923099	0.0001029225047385	0.812099351085878	6.8929304713142	8.00042494368298	1.74795028022686	167000750	GABRA2	gamma-aminobutyric acid type A receptor alpha2 subunit
ILMN_1739813	ILMN_1739813	0.0717008742496259	0.000105489676181244	-0.591859624575635	7.51044911456095	-7.96896494124242	1.72806507320588	385648247	HYAL1	hyaluronoglucosaminidase 1
ILMN_1663080	ILMN_1663080	0.072029095934614	0.000108276322808382	-0.821011981985421	8.38684804486799	-7.93578214410021	1.70697806977725	93140998	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
ILMN_1665058	ILMN_1665058	0.0758875392814439	0.000116503610487728	0.468377873514452	7.29925036099659	7.84318778383564	1.64751748979738	219803733	TCHP	trichoplein keratin filament binding
ILMN_2371079	ILMN_2371079	0.0794489530249093	0.000124512208092514	-0.47889746910706	7.30933600724059	-7.75990560542559	1.59324857601433	258645161	HTR3A	5-hydroxytryptamine receptor 3A
ILMN_1659601	ILMN_1659601	0.080195160053559	0.000128246593829654	-0.444400338632665	7.54874490389343	-7.72312035696017	1.56903749478128	51944958	CCL26	C-C motif chemokine ligand 26
ILMN_1681780	ILMN_1681780	0.0878412755071364	0.000143283600424229	0.647062185291532	7.09588018755112	7.58637658130354	1.47772191968134	178057336	MKX	mohawk homeobox
ILMN_2384409	ILMN_2384409	0.0916132295166863	0.000154212002540707	0.744591774922907	8.00778158508903	7.49681263474503	1.4167713377472	166158920	TAC1	tachykinin precursor 1
ILMN_1794594	ILMN_1794594	0.0916132295166863	0.000155296525439275	-0.453692413614795	7.26208440793986	-7.48831813182269	1.4109430408692	24797102	RASGRP2	RAS guanyl releasing protein 2
ILMN_1780255	ILMN_1780255	0.093589481879962	0.000161639865077655	-0.673630711096343	7.60510074198633	-7.43994119175747	1.37759185185455	987437901	KLK6	kallikrein related peptidase 6
ILMN_3246206	ILMN_3246206	0.0970235027136003	0.000170673979698331	0.542955420823647	7.09627515594455	7.37462799263642	1.33213371253609	95007013	SNORA79	small nucleolar RNA, H/ACA box 79
ILMN_1689431	ILMN_1689431	0.10031780282897	0.000179677507785528	0.403798726283968	7.32187380233279	7.31331313247671	1.2890028952447	755571525	APCDD1L	APC down-regulated 1 like
ILMN_1733690	ILMN_1733690	0.100815809587193	0.000183793934192734	-0.670604754248977	9.3452280961567	-7.28642653229773	1.26994957331428	330864784	AKAP7	A-kinase anchoring protein 7
ILMN_1771333	ILMN_1771333	0.108231211254303	0.000203004702462384	0.388746426294839	7.33292734945186	7.16935676203236	1.18597701627937	68223313	CD47	CD47 molecule
